,name,2hmag,2jmag,2kmag,Flux_ArIV_4711,Flux_ArIV_4711_Err,Flux_Ha_6562,Flux_Ha_6562_Err,Flux_Hb_4861,Flux_Hb_4861_Err,Flux_Hd_4101,Flux_Hd_4101_Err,Flux_HeII_3203,Flux_HeII_3203_Err,Flux_HeII_4685,Flux_HeII_4685_Err,Flux_HeI_5875,Flux_HeI_5875_Err,Flux_Hg_4340,Flux_Hg_4340_Err,Flux_NII_6547,Flux_NII_6547_Err,Flux_NII_6583,Flux_NII_6583_Err,Flux_NeIII_3868,Flux_NeIII_3868_Err,Flux_OIII_4363,Flux_OIII_4363_Err,Flux_OIII_4958,Flux_OIII_4958_Err,Flux_OIII_5006,Flux_OIII_5006_Err,Flux_OII_3726,Flux_OII_3726_Err,Flux_OII_3728,Flux_OII_3728_Err,Flux_OI_6300,Flux_OI_6300_Err,Flux_SII_6716,Flux_SII_6716_Err,Flux_SII_6730,Flux_SII_6730_Err,NAME,absrmag,absrmagcorr,ariii7135_flux,ariii7135_flux_err,b_a,b_a_deconv1,b_a_deconv2c,b_a_deconv2e,b_a_innerdisk,ccb,ccr,ccr_bary,ccr_lum,ccr_star,centralout,confused,cz,dedeg,den1mpc,dgr,dist2d_nn1,dist2d_nn2,dist2d_nn3,e_2hmag,e_2jmag,e_2kmag,e_fuvmag,e_gmag,e_imag,e_nuvmag,e_rmag,e_uhmag,e_ukmag,e_umag,e_uvm2mag,e_uymag,e_zmag,eb_a,eb_a_innerdisk,econame,ehiasym,emhi,emhi_corr_rand,emhi_corr_sys,emhi_rand_corr,emhi_sys_corr,ew20,ew50,extfuv,extg,exth,exti,extj,extk,extnuv,extr,extu,extuvm2,exty,extz,f_a,f_b,fa,fc,fg,fl_insample,flux_ratio_2c,fm16,fsmgr_ave,fsmgr_med,fuvmag,gmag,grp,grpabsrmag,grpcz,grpmb,grpms,grpn,grpnassoc,grprproj,grprproj_stack,grpsig,grpsig_stack,h_alpha_flux,h_alpha_flux_err,h_beta_flux,h_beta_flux_err,h_delta_flux,h_delta_flux_err,h_gamma_flux,h_gamma_flux_err,hei_5876_flux,hei_5876_flux_err,hiasym,hitelescope,imag,kin_blue_code,kin_done_blue,kin_done_hi,kin_done_red,kin_ifu_flag,kin_red_code,kin_slit_flag,limflag,logmbary_pc,logmgas,logmh,logmh_dyn,logmh_dyn_smooth,logmh_dyn_stack,logmh_s,logmstar,logmstar_16,logmstar_84,logmstare15,meanfsmgr,meanfsmgre15,mhi,mhi_corr,modelg_i,modelg_icorr,modelg_j,modelg_jcorr,modelg_k,modelg_kcorr,modelg_r,modelg_rcorr,modelu_i,modelu_icorr,modelu_j,modelu_jcorr,modelu_k,modelu_kcorr,modelu_r,modelu_rcorr,morph,morphel,mu_delta,neiii_3869_flux,neiii_3869_flux_err,nii_6548_flux,nii_6548_flux_err,nii_6584_flux,nii_6584_flux_err,nuvmag,oi_6300_flux,oi_6300_flux_err,oii_3726_flux,oii_3726_flux_err,oii_3729_flux,oii_3729_flux_err,oii_flux,oii_flux_err,oiii_4363_flux,oiii_4363_flux_err,oiii_4959_flux,oiii_4959_flux_err,oiii_5007_flux,oiii_5007_flux_err,oiii_flux,oiii_flux_err,peaksnhi,r50,r50_deconv1,r50_deconv2c,r50_deconv2e,r90,radeg,resname,rmag,sdss_dr10_objid,sdss_dr10_specid,sdss_dr12_objid,sdss_dr12_specid,sdss_dr7_objid,sdss_dr7_specid,sfr_nuv,sfr_nuv_wise,sii_6717_flux,sii_6717_flux_err,sii_6731_flux,sii_6731_flux_err,uhmag,ukmag,umag,uvm2mag,uymag,vdisp,vrot,w20,w50,zmag,logxray_lum,xmm_id,xrayagn
3694,rf0138,10.13,10.95,9.92,0.0,0.0,5325.488,165.7423,2182.786,114.6053,51.44503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,971.9869,105.2115,3453.382,71.29366,10157.01,209.6872,822.6871,70.67061,45.5043,76.26331,1011.747,38.8724,2890.706,111.064,4589.522,0.0,5949.0059999999985,1976.768,1780.134,122.2421,2234.034,205.3656,1428.151,145.1729,rf0138,-21.76,-21.9441,-96.44187320165014,-54.536388524233715,0.7,0.7339,0.7545,0.6798,0.8788739999999999,,1.0,-99.0,-99.0,-99.0,0.0,1,5375.0,-0.2901077,,-0.04,0.068851,0.080223,0.088989,0.11,0.1,0.06,5.794,0.02,0.02,0.05,0.02,-99.0,-99.0,0.08,-99.0,-99.0,0.03,0.0732,0.0652593,notineco,0.0331279,123766000.0,121021000.0,290731000.0,,,0.0,11.937,0.2686,0.13,0.02,0.07,0.03,0.01,0.3,0.09,0.17,0.31,0.04,0.05,0.0,1.0,,0,,1.0,0.532191,,,,19.0395,13.59,89.0,-22.891,5402.83,11.3935,11.3705,5.0,9.0,0.211954,0.208472,163.05100000000004,175.356,5233.493660504816,438.34167086565566,1829.8928882883974,225.43677432609508,277.9014394453881,62.82419347421012,654.2434402113969,103.23820283175615,-204.237126083965,-48.16742531488615,0.07490880000000001,GBT,12.31,11000.0,1,0,0,0.0,0.0,1.0,0,10.985,9.51581,13.1479,0.0,13.2954,0.0,13.3099,10.97,10.91,10.99,10.95,0.0131582,0.06621339999999999,1286250000.0,964366000.0,1.13005,0.996664,2.57992,2.38934,3.5215,3.30227,0.767616,0.6725939999999999,2.74981,2.46478,4.1996699999999985,3.85745,5.14126,4.77038,2.38737,2.14071,-1.5,E,10.2755,1144.3157550421533,174.43368091317956,3395.805962078525,277.96323692716544,10195.604859096116,829.6597281637187,17.83,1718.721467924466,159.58411421703389,393359203494.7473,1142609405643.7168,-3021790620.757273,-8675215433.664467,38591.45,321222.1,-26.182446000373893,-56.00545416820111,658.3733360366111,98.61971903071829,2836.8031811067103,328.60668619704165,1069.165,28.93836,4.29396,11.34,17.1073,6.0981,43.3993,57.28,18.20249,,12.75,1.237663783668482e+18,4.470122548067308e+17,1.237663783668482e+18,4.470122548067308e+17,5.8801550874044e+17,1.119680197474386e+17,0.64515541,1.238164,1968.42808338664,171.32241235066186,1967.9061520861176,171.15978277786738,-99.0,-99.0,15.29,-99.0,-99.0,0.0,0.0,320.463,335.523,11.98,41.551373493479915,207474001310001,True
3698,rf0166,10.12,10.85,9.92,0.0,0.0,319.64,12.95348,43.68312,9.430378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.7542,4.038464,637.5122,11.87784,41.38748,8.833008,0.0,0.0,34.29222,3.965311,97.97778,11.32946,-9999.0,0.0,-9999.0,0.0,82.10795,11.91413,236.2694,11.86518,175.03400000000005,13.99966,rf0166,-21.91,-22.0385,-53.280713574250896,-15.443128148233981,0.91,0.6988,0.8132,0.6427,0.910091,,1.0,-99.0,-99.0,-99.0,0.0,0,5320.5,-0.54432577,,-0.12,0.36444,0.51959,0.55637,0.38,0.17,0.06,0.0398,0.02,0.02,0.02,0.02,0.13,0.02,0.05,-99.0,-99.0,0.03,0.0505,0.0504684,notineco,0.0982706,215881000.0,0.0,0.0,,,0.0,4.49529,0.3447,0.16,0.02,0.09,0.04,0.02,0.39,0.12,0.22,0.4,0.05,0.06,0.0,1.0,,1,,1.0,0.18469,,,,17.2265,13.33,110.0,-21.9091,5320.5,10.9165,10.9065,1.0,1.0,0.0,0.0,0.0,0.0,725.7296849599071,90.90432547998303,253.7516380978696,47.835630586880676,64.25132037909528,20.548750333833407,112.99166353175434,27.36865979292587,-23.57807518779386,-12.99608239525947,0.0228398,GBT,12.21,0.0,0,0,0,0.0,0.0,0.0,0,10.905,9.49297,12.3739,0.0,0.0,0.0,12.4679,10.89,10.81,10.95,10.89,0.0218087,0.0230597,2222480000.0,0.0,0.97131,0.859468,2.23678,2.08672,3.10316,2.93213,0.652834,0.571239,2.3415,2.09953,3.60697,3.3267800000000003,4.47335,4.1722,2.0230200000000003,1.81131,3.0,L,9.16717,55.41892666404426,22.10378272382159,463.64990014270865,57.5425421490891,1393.0705406321958,171.8715204763757,16.68,178.57166530904513,28.088404514948078,0.0,,0.0,,0.0,1.068925,6.48387391168388,19.47628441561694,107.40397816865827,25.834645903241896,323.7564456965139,58.5890446369839,130.74,8.568822,7.069839999999999,21.98,231.36900000000003,6.3668,89.3247,57.77,20.319466,,12.61,1.2376663386537329e+18,7.83690693653588e+17,1.2376663386537329e+18,7.83690693653588e+17,5.87731512069587e+17,1.9613082071964058e+17,1.5688798000000002,2.46258,501.44636425944503,62.68161949420799,335.6741981431992,43.660483417812245,10.39,10.13,14.81,-99.0,-99.0,0.0,0.0,80.6758,63.5435,11.95,39.98127665231343,207474101310017,False
3767,rf0372,11.24,11.9,10.97,0.0,0.0,8010.727,114.5531,2319.946,56.15935,446.9028,38.8573,0.0,0.0,509.2365,36.69029000000001,236.391,32.05953,970.7391,46.41768,2664.557,36.68554,7836.932,107.8987,1401.076,74.8869,72.8453,53.22145,3154.577,49.69212,9013.077,141.9775,3318.36,9904.862,760.9978,11091.43,358.5382,38.16888,1401.761,56.8227,1336.364,55.43243,rf0372,-21.19,-21.6321,279.6391691529884,24.95823461780068,0.59,0.5925,0.6041,0.4073,0.595191,,1.0,-99.0,-99.0,-99.0,0.0,0,6735.4,0.42092388,,-0.06,0.045443,0.11165,0.33284,0.05,0.03,0.06,0.1038,0.02,0.02,0.05,0.02,0.03,0.05,0.03,-99.0,0.15,0.02,0.0184,0.0136892,notineco,0.0,0.0,0.0,0.0,,,0.0,0.0,0.2055,0.1,0.01,0.05,0.02,0.01,0.23,0.07,0.13,0.24,0.03,0.04,0.0,1.0,,1,,1.0,0.772954,,,,19.0741,14.44,253.0,-21.2286,6791.45,10.4655,10.4455,2.0,2.0,0.0229135,0.136287,99.3461,97.415,9187.24286122641,272.6377451431657,3212.322678750493,142.0255678755571,916.6463000587587,59.649073115008676,1572.2021346927786,84.46373051465021,285.1395067526336,25.662702009934893,0.0,GBT,13.46,0.0,0,0,1,0.0,1000000.0,1.0,1,10.405,9.13594,11.9809,0.0,12.408,0.0,11.9139,10.39,10.23,10.53,10.43,0.277272,0.209667,976812000.0,0.0,0.887442,0.5707720000000001,2.3017,1.81123,3.26781,2.6746,0.583076,0.371864,2.30266,1.74879,3.71692,2.98924,4.6830300000000005,3.85262,1.99829,1.54988,2.5,E,9.79933,2143.983774388836,128.4382512105947,2955.439242923217,87.64073479954412,8864.18125367994,261.35650176156935,17.77,476.9943873075266,30.052369737445968,2863.762409311924,182.66492174503838,2775.447166530709,178.67357543695613,974.9119,65.10524000000001,204.90165508504398,42.37662945386902,4410.120971975871,189.11169727596626,12717.756484163992,522.7849968448102,3439.312,24.82742,0.0,6.58,20.7743,9.12,46.5046,23.74,38.255238,,13.8,1.2376664084591414e+18,4.583943996136755e+17,1.2376664084591414e+18,4.583943996136755e+17,5.880155098229638e+17,1.1478288306274304e+17,1.5316525,1.5316525,1594.7315284481579,55.22350162373097,1501.0730489847,52.706355824908066,11.33,11.0,15.91,-99.0,12.31,0.0,143.17600000000004,0.0,0.0,13.21,41.242789005324425,206553806010001,True
1299,ECO05215,13.3979,13.8823,13.2682,479.601,0.0,753.0569,9.333706,227.4054,6.611238,49.11316,4.650647,0.0,0.0,0.0,0.0,29.30155,4.514881,100.9092,5.7853059999999985,44.22665,1.441221,130.0784,4.238884,23.13317,7.846694,19.60302,27.49659,106.9849,2.334596,305.671,6.670275,0.0,0.0,0.0,0.0,18.83624,3.964586,137.0924,4.452989,101.9334,4.23071,ECO05215,-19.1019,-19.422,20.59960137113489,2.1919600225930838,0.4511,,,,,1.0,1.11348,,,,,0,5361.4,0.5219,0.198615,-0.143057,,,,0.1948,0.0769,0.2271,,0.0238,0.0242,0.0709,0.0239,,,0.0394,,,0.0229,,,,,151743000.0,,,0.0,0.0,,,,0.1437,0.0218,0.079,0.0342,0.0139,0.347424,0.1042,0.1953,,,0.056,,,0.0,1,1.0,,,1.0,1.14312,0.630957,,15.562,3986.0,-19.1019,5361.4,9.6885,9.1135,1.0,,0.0,0.0,0.0,0.0,795.0071710987102,16.767830973205648,277.97453534919936,11.529044281713526,73.69793381172309,5.772239194970843,129.93822787521606,7.575851076109432,26.092195775664173,2.90636364684712,,ALFALFA,14.9938,,,,,,,,0,,9.55768,11.2439,0.0,0.0,0.0,11.1579,9.23,9.01,9.31,9.11,0.794657,1.14312,2579630000.0,0.0,0.444941,0.346846,1.60627,1.33814,2.4316,2.05442,0.275772,0.22414,1.28604,1.36225,2.4473700000000003,2.35354,3.2727,3.06982,1.11687,1.23954,,L,7.43255,23.69820320568383,5.426051742512798,45.66106584661529,1.285491586038986,137.5616355220108,3.850921355637294,17.7078,18.063391056566147,2.195313496700187,0.0,,0.0,,0.0,1.247135,1.839191552724229,3.5037879304136403,122.36816242837,5.9334878190559825,357.4544222699286,13.826292978970391,300.6196,5.204128,,14.6511,,,,28.3503,135.438,rs0012,15.1883,,,,,,,0.36200641,,142.70636017379445,4.038418451991586,105.09501866020796,3.4084685321410544,,,16.5248,,,,,,,14.8465,39.95965307109795,207252901480021,False
1305,ECO05228,11.9461,12.4864,11.1058,0.0,0.0,6224.856,107.5725,1600.865,55.2156,526.5099,51.24815,0.0,0.0,85.08743,45.35332,210.2291,42.22878,780.933,50.96762,1367.8529999999996,22.62611,4023.095,66.54738,79.75319,50.7145,0.0,0.0,186.022,15.32535,531.4913,43.7867,5946.307,8534.548,1665.1070000000002,205.3179,160.1361,36.52354,1113.936,57.86205,826.5328,44.05497,ECO05228,-20.3561,-20.5692,-35.155382143738976,-31.55691811669633,0.5082,,,,,1.0,1.18641,,,,,0,6316.69,28.911,0.78178,-0.181618,,,,0.4305,0.0424,0.391,,0.0207,0.0279,2.85,0.0224,,,0.0285,,,0.0214,,,,,0.0,,,0.0,0.0,,,,0.0914,0.0139,0.0503,0.0217,0.0088,0.220963,0.0663,0.1242,,,0.0356,,,0.0,1,0.0,,,1.0,0.236995,0.28183800000000003,,15.2607,3997.0,-20.3561,6316.69,10.2905,10.2625,1.0,,0.0,0.0,0.0,0.0,10361.956353639636,469.0903782891404,3623.061662111761,246.08341797544966,1158.0989090641144,125.1665493800697,1794.7791007076098,154.60878790658242,200.14323775627403,39.65675054871326,,,14.0964,,,,,,,,0,,9.06271,11.5999,0.0,0.0,0.0,11.7499,10.29,10.11,10.35,10.25,0.0313723,0.236995,0.0,0.0,1.0835,0.8843540000000001,2.53053,2.33868,3.4688800000000004,3.2823900000000004,0.7363430000000001,0.58053,2.61307,2.21003,4.0601,3.66436,4.99845,4.60806,2.26591,1.90621,,L,9.51811,407.2415240382903,121.14880622163544,2222.7444618929608,101.48133550224631,6636.228571138312,301.2662234925646,17.9663,381.32919726174947,41.96109609046537,0.0,,-865315575.133451,-400162727.35420734,-23905.83,2797020.0,-73.81047153798056,-77.93726093535888,440.47002543648836,65.68294894180437,1132.017646993631,94.29517356977293,100.5783,6.218687999999998,,5.81847,,,,15.0418,137.119,notinresolve,14.4872,,,,,,,0.30151126,,1872.5764611142718,93.99526304394443,1521.2825011586544,80.57507822483308,,,16.7935,,,,,,,13.7804,40.29615585093883,207607401010008,True
2611,ECO08934,14.4757,14.7047,13.9503,3.0985270000000003,6.775561,147.1389,6.859528,49.4079,4.760349,11.79238,6.234933,0.0,0.0,3.313658,5.077028,8.5496,5.209621,21.04522,4.458411,12.16973,0.9544603000000002,35.79332,2.807236,7.176188000000002,7.999936999999999,0.0,0.0,10.99217,1.141329,31.4062,3.26094,0.0,0.0,234000000000000.0,29100000000.0,6.005803,2.857372,40.35186,3.288227,28.335390000000004,3.375462,ECO08934,-18.7379,-18.9595,6.5497439099169625,7.783628514157756,0.6652,,,,,1.0,1.0798,,,,,0,6219.64,29.8428,0.776335,0.07041739999999999,,,,0.4801,0.4624,0.3201,,0.0222,0.034,0.5819,0.0225,,,0.0494,,,0.0389,,,,,0.0,,,0.0,0.0,,,,0.097,0.0147,0.0533,0.0231,0.0094,0.234568,0.0704,0.1318,,,0.0378,,,0.0,0,0.0,,,1.0,0.210587,0.125893,,16.5439,335.0,-23.9744,6452.74,11.7855,11.7475,16.0,,0.328838,0.310141,260.34,205.017,119.17653889898514,5.898993033175884,41.67011849614864,4.304641366400488,12.528035777796363,2.953762786369768,17.578378060395554,3.016856233247105,4.094672239836198,1.820637164736083,,,15.8171,,,,,,,,0,,9.33389,13.8029,13.7094,13.8499,13.4765,13.8289,9.25,9.05,9.39,9.25,0.205875,0.210587,0.0,0.0,0.623135,0.454559,1.7895,1.53361,2.58704,2.27932,0.406715,0.293867,1.66467,1.34855,2.83103,2.42761,3.62857,3.17332,1.44825,1.18786,,L,8.237630000000001,6.782389209587349,3.391425892375392,9.41868829342382,0.6535345591770483,28.390789061799588,1.9588688248119108,18.2026,4.176210615110003,1.3568922945890072,0.0,,0.0,,0.0,1.097192,0.15800707998431182,2.1355082234673493,4.8114683598378365,1.8025939821914752,25.21003950736556,2.8788725825392087,23.97964,2.044762,,7.35668,,,,17.2077,138.74200000000002,notinresolve,16.0758,,,,,,,0.33296104,,32.31109685304163,2.1458105555073907,21.9269230360252,2.168232866551397,,,17.6389,,,,,,,15.6602,39.53943187759488,206731504010092,False
714,ECO03429,9.7836,10.7656,9.9013,0.0,0.0,6416.3780000000015,145.285,1292.952,70.24694000000001,0.0,0.0,0.0,0.0,35.27475,181.5388,76.07497,40.26039,416.5343,58.01631999999999,1423.93,40.72695,4188.028,119.7851,83.94292,38.85745,0.0,0.0,276.093,27.47951,788.8371,78.51289,2652.756,91677.24,0.0,0.0,214.3219,59.42764,844.9680000000002,97.45259,542.8362,100.0546,ECO03429,-22.2669,-22.6481,-243.045457246448,-121.4762455234989,0.8239,,,,,1.0,1.0,,,,,0,6282.07,29.7303,0.7796850000000001,-0.065794,,,,0.2881,0.0488,0.1183,,0.1088,0.1009,0.2204,0.0248,,,0.0267,,,0.0636,,,,,0.0,,,0.0,0.0,,,,0.0983,0.0149,0.0541,0.0234,0.0095,0.23770500000000006,0.0713,0.1336,,,0.0383,,,0.0,0,0.0,,,1.0,0.443619,0.28183800000000003,,13.3093,335.0,-23.9744,6452.74,11.7855,11.7475,16.0,,0.328838,0.310141,260.34,205.017,21908.770897896007,1468.3950063796676,7660.409404858748,776.9755105097129,1564.148921697007,319.6091104209188,3845.1694105907222,495.11981492828016,-362.00471811792283,-130.31070254234618,,,12.2704,,,,,,,,0,,9.90812,13.8029,13.7094,13.8499,13.4765,13.8289,10.87,10.65,11.01,10.83,0.1836,0.443619,0.0,0.0,0.91572,0.647602,2.28304,1.8629,3.21184,2.71151,0.6101489999999999,0.430054,2.38531,1.89553,3.75263,3.11084,4.6814300000000015,3.95945,2.07974,1.67799,,E,9.87273,1755.6614612390015,424.8616777116546,4685.128806742516,318.6013131891045,13977.46531001862,945.1204975253503,16.7649,988.5089066515416,169.0823847093329,-5363638444461.113,-11848143080519.38,3656222482.780872,7593253476.57297,0.0,1.060532,597.2943804464019,343.1060591505547,1129.2583196821734,277.8047108137181,3399.832800468365,402.60701642693147,275.1255,23.608320000000006,,11.4892,,,,47.5115,138.749,notinresolve,12.5694,,,,,,,2.8150181,,2739.2342634031265,234.75736043066672,2132.133685652077,206.44697837967016,,,14.8314,,,,,,,12.003,40.607342895747266,206731504010012,False
799,ECO03714,11.4357,12.0274,11.0716,0.0,0.0,412.0384,22.57374,330.1114,25.10411,148.658,30.24518,0.0,0.0,5.267025,13.69752,0.0,0.0,312.0986,29.46555,123.7893,7.700006,364.0861,22.64708,47.96486,41.85752,1.420945,0.0,102.822,7.511069,293.777,21.4602,1.43e-07,0.0,971.1967,1279.997,63.4844,19.85177,117.4329,19.98571,100.2949,19.88575,ECO03714,-20.3899,-20.5469,-26.344900501490677,-5.581459303413698,0.7164,,,,,1.0,1.18167,,,,,0,5104.75,0.9453,0.426371,-0.0471764,,,,0.0786,0.0264,0.0928,,0.0205,0.0364,0.1638,0.0358,,,0.1383,,,0.0238,,,,,123885000.0,,,0.0,0.0,,,,0.1038,0.0158,0.0571,0.0247,0.01,0.250922,0.0753,0.141,,,0.0405,,,0.0,0,1.0,,,1.0,0.118148,0.125893,,14.8014,881.0,-22.5142,5087.89,11.2125,11.1565,7.0,,0.152277,0.141438,145.056,119.089,179.53225610541983,22.8112356954812,62.77351612077618,11.801500393591668,15.404042295613074,4.334180147359503,41.283827185973905,8.927877883314412,-12.956645897905785,-4.2351964516071465,,ALFALFA,13.588,,,,,,,,0,,9.5678,12.8289,0.0,12.7042,12.6636,12.8789,10.31,10.23,10.41,10.33,0.012781,0.118148,2640410000.0,0.0,1.12874,1.01586,2.58244,2.37875,3.50311,3.29061,0.7751100000000001,0.692608,2.75101,2.53437,4.20471,3.89726,5.125380000000002,4.80912,2.39738,2.21112,,E,10.0257,15.861736070845176,4.578435614341556,46.77202593591946,6.029553984338242,141.40835858207532,18.129370862659265,19.6275,29.59252547962971,5.888395906488122,0.0,,0.0,,0.0,1.014768,-4.980184651430792,-3.2541247959204904,26.734825430595592,5.9049152744409374,102.02471108905218,18.048239086870343,179.1954,7.776811,,5.41207,,,,17.4578,139.98,rs0029,14.0064,,,,,,,0.081228645,,65.67360322461928,9.364441095073596,52.973715237444246,8.064785111674997,,,16.5294,,,,,,,13.31,39.921864157676325,206731802010023,True
2161,ECO07597,0.0,15.5735,0.0,12.29176,7.177397,431.5897,26.4235,150.1624,11.52846,34.71584,9.02499,0.0,0.0,10.75471,7.744302,21.20157,5.463542,68.52509,9.347098,16.36119,1.761471,48.12114,5.180797,44.85896,14.10534,0.0,0.0,102.6222,8.440087,293.2062,24.11454,9134.419,827527.1,0.0,0.0,14.61355,4.514368,71.16055,5.7932760000000005,53.39034,6.011721,ECO07597,-17.9481,-17.9836,21.357671646472387,5.862613064332333,0.5478,,,,,1.0,1.34416,,,,,0,5721.1,4.0014,0.490407,-0.1464,,,,0.0,0.2219,0.0,,0.219,0.2056,0.2729,0.2424,,,0.2075,,,0.0836,,,,,110181000.0,,,0.0,0.0,,,,0.1646,0.025,0.0905,0.0392,0.0159,0.398155,0.1194,0.2238,,,0.0642,,,1.0,1,1.0,,,1.0,4.44641,7.079460000000001,,17.0111,5577.0,-17.9481,5721.1,9.6515,8.4395,1.0,,0.0,0.0,0.0,0.0,309.63766556444216,9.748414164200874,108.26491802952525,7.123076584157367,26.47695498200817,4.220287358076446,52.237505285113315,5.19055606245484,16.488538071050428,2.3092856536601785,,ALFALFA,16.5652,,,,,,,,0,,9.62869,11.0099,0.0,0.0,0.0,10.9179,8.43,8.37,8.55,8.43,4.2342,4.44641,3037830000.0,0.0,0.239098,0.188799,1.22975,1.15066,1.96877,1.86665,0.148586,0.117496,1.15857,1.04159,2.14923,2.00345,2.88824,2.71944,1.06806,0.970284,,L,7.34312,22.747772189175933,5.374033625559925,11.288311162115097,0.6508100086775943,33.99604166357539,1.9535202126637796,18.4836,8.587519066710431,1.7100903374052734,0.0,,0.0,,0.0,1.055024,0.17518573534517115,2.8125989004988905,69.71676064524111,4.8741568504031365,220.01753696505935,12.763042330805868,176.5557,7.6629,,7.49003,,,,15.3594,146.143,rs0122,16.7315,,,,,,,0.16891241,,47.37146421104552,2.3621111107567643,36.858689736690025,2.7444843695885783,,,17.9365,,,,,,,16.5651,39.99988864059811,202012903010020,False
1994,ECO07039,13.199000000000002,13.9261,12.8185,0.0,0.0,2192.126,49.89301,608.145,19.57255,193.6738,20.3895,0.0,0.0,11.21733,34.72477,63.41653,7.987002,276.22,22.32106,226.5003,6.47382,666.1773,19.04065,282.2615,84.6376,71.54573,115.7382,76.80032,4.203547,219.4295,12.01013,729.5706,148.0096,555.6062,129.6363,58.24239,6.804106,417.5992,12.03832,291.48,10.90472,ECO07039,-19.0388,-19.5578,18.50996064969826,3.3450315324868902,0.7924,,,,,1.0,1.05756,,,,,0,6219.87,-0.2513,0.5124479999999999,0.0271568,,,,0.1081,0.081,0.1471,,0.021,0.0212,0.0781,0.0217,,,0.0322,,,0.022,,,,,0.0,,,0.0,0.0,,,,0.1539,0.0234,0.0846,0.0366,0.0149,0.372127,0.1116,0.2091,,,0.06,,,0.0,0,1.0,,,1.0,0.39451,0.28183800000000003,,16.4447,5230.0,-19.8978,6158.9,10.0805,10.0425,2.0,,0.097647,0.0970121,108.058,63.2501,1871.3135553980856,32.97145235715441,654.3054389503798,22.890379108187823,207.4597667722897,15.871504906129449,342.1414523557035,17.70738291407709,61.006895927219105,4.5762707831416645,,,15.5102,,,,,,,,0,,8.685319999999999,11.4499,0.0,11.4657,0.0,11.5829,9.41,9.31,9.61,9.43,0.463911,0.39451,0.0,0.0,0.8253229999999999,0.460436,2.28303,1.70525,3.28791,2.58361,0.524567,0.284164,2.10989,1.45383,3.56759,2.69864,4.5724800000000005,3.577,1.80913,1.27756,,L,8.99183,46.69050214775917,24.588299196675703,188.78169495779477,3.692650079416385,566.4390244393862,10.98794646044872,19.2766,49.32999379448367,3.7791564273458302,0.0,,-1249179702.2125492,-916205079.21905,-110.4992,30683.99,20.464984638400818,9.338446408180623,79.18796485748818,6.809889722602055,232.8212363613467,9.987050234614408,111.6384,3.82203,,3.59512,,,,8.00124,149.09,notinresolve,15.8162,,,,,,,0.43756364,,345.3845255008432,7.745715127011914,239.2887911705325,6.3605884631349685,,,17.7625,,,,,,,15.2306,39.310324485166106,202064301010095,False
2008,ECO07102,11.4673,12.1817,11.184,0.0,0.0,2432.598,32.70694,608.9648,14.1838,147.0257,7.489851,0.0,0.0,23.0791,14.91992,44.63452,10.15835,281.541,9.782984,541.8684,7.623760000000001,1593.731,22.42282,192.1519,11.13217,61.87003000000001,9.680551,591.5022,7.467573,1690.006,21.33592,16401.94,0.0,322.1725,38.17739,121.9507,8.968036999999997,416.7279,14.69979,339.2268,13.37417,ECO07102,-21.2932,-21.4882,88.05189501630545,15.508263315081436,0.894,,,,,1.0,1.06231,,,,,0,6794.4,3.0578,0.420231,-0.06129460000000001,,,,0.0435,0.0366,0.1738,,0.0239,0.0679,0.1551,0.0985,,,0.4491,,,0.2789,,,,,180663000.0,,,0.0,0.0,,,,0.0967,0.0147,0.0532,0.023,0.0094,0.233794,0.0701,0.1314,,,0.0377,,,0.0,1,1.0,,,1.0,0.0324308,0.025118900000000003,,14.371,5255.0,-21.2932,6794.4,10.6535,10.6355,1.0,,0.0,0.0,0.0,0.0,5005.5189706360115,170.50432694620503,1750.1814582643399,88.19320393052394,515.9930696571623,36.36491791876096,964.7431992875513,57.3304384410825,153.86126164494397,15.524022593566205,,ALFALFA,13.1698,,,,,,,,0,,9.37497,12.0079,0.0,0.0,0.0,12.1199,10.59,10.51,10.71,10.63,0.033844900000000004,0.0324308,1693720000.0,0.0,0.964628,0.781185,2.30273,1.95668,3.2122,2.74263,0.643955,0.521814,2.3162700000000003,1.97872,3.65437,3.15422,4.56384,3.94016,1.99559,1.71935,,E,9.84232,773.1141220420026,55.173583080894936,1093.1806143947008,37.6809963215232,3283.414198000083,112.5518639250268,17.4471,313.41292159533316,19.780453914546424,5187617.684480384,4382148.940859017,-424.509444214096,-792.03547105774,-115.079,7450.189,261.5415436740012,26.09904095004593,1615.378926401151,80.64772776047288,4813.518299797425,226.76784871058715,1802.648,16.47437,,10.0876,,,,50.0554,150.53,rs0181,13.6395,,,,,,,1.0006532,,878.8168423087645,35.28823805430623,715.3363326652149,30.406623875930208,,,15.3561,,,,,,,12.9857,41.972085761447715,207629202010001,True
